timestamp,episode,carol_openness,carol_conscientiousness,carol_extraversion,carol_agreeableness,carol_neuroticism
2026-04-26 18:46:53.906,1,0.2009,-0.1980,0.1983,-0.3969,-0.0027
2026-04-26 18:46:53.983,2,0.2023,-0.1960,0.1964,-0.3943,-0.0056
2026-04-26 18:46:54.077,3,0.2034,-0.1940,0.1947,-0.3915,-0.0083
2026-04-26 18:46:54.121,4,0.2052,-0.1921,0.1927,-0.3893,-0.0112
2026-04-26 18:46:54.156,5,0.2072,-0.1901,0.1908,-0.3874,-0.0142
2026-04-26 18:46:54.194,6,0.2091,-0.1881,0.1888,-0.3854,-0.0171
2026-04-26 18:46:54.234,7,0.2108,-0.1862,0.1870,-0.3832,-0.0199
2026-04-26 18:46:54.286,8,0.2125,-0.1843,0.1851,-0.3811,-0.0228
2026-04-26 18:46:54.335,9,0.2138,-0.1824,0.1833,-0.3785,-0.0255
2026-04-26 18:46:54.363,10,0.2150,-0.1804,0.1816,-0.3759,-0.0282
2026-04-26 18:46:54.388,11,0.2162,-0.1785,0.1799,-0.3733,-0.0309
2026-04-26 18:46:54.409,12,0.2175,-0.1766,0.1781,-0.3708,-0.0336
2026-04-26 18:46:54.429,13,0.2188,-0.1748,0.1764,-0.3684,-0.0362
2026-04-26 18:46:54.454,14,0.2201,-0.1729,0.1746,-0.3659,-0.0389
2026-04-26 18:46:54.489,15,0.2214,-0.1710,0.1729,-0.3634,-0.0416
2026-04-26 18:46:54.517,16,0.2226,-0.1692,0.1712,-0.3610,-0.0442
2026-04-26 18:46:54.546,17,0.2238,-0.1673,0.1695,-0.3585,-0.0468
2026-04-26 18:46:54.577,18,0.2249,-0.1655,0.1679,-0.3559,-0.0494
2026-04-26 18:46:54.613,19,0.2261,-0.1637,0.1662,-0.3535,-0.0520
2026-04-26 18:46:54.648,20,0.2272,-0.1618,0.1646,-0.3509,-0.0545
2026-04-26 18:46:54.682,21,0.2280,-0.1600,0.1630,-0.3481,-0.0570
2026-04-26 18:46:54.707,22,0.2289,-0.1582,0.1614,-0.3454,-0.0594
2026-04-26 18:46:54.737,23,0.2297,-0.1564,0.1599,-0.3426,-0.0619
2026-04-26 18:46:54.767,24,0.2304,-0.1547,0.1584,-0.3398,-0.0643
2026-04-26 18:46:54.800,25,0.2311,-0.1529,0.1569,-0.3369,-0.0667
2026-04-26 18:46:54.828,26,0.2318,-0.1511,0.1554,-0.3340,-0.0690
2026-04-26 18:46:54.851,27,0.2323,-0.1494,0.1540,-0.3310,-0.0714
2026-04-26 18:46:54.875,28,0.2328,-0.1476,0.1525,-0.3281,-0.0737
2026-04-26 18:46:54.892,29,0.2332,-0.1459,0.1511,-0.3249,-0.0759
2026-04-26 18:46:54.922,30,0.2334,-0.1442,0.1498,-0.3217,-0.0782
2026-04-26 18:46:54.936,31,0.2336,-0.1424,0.1484,-0.3185,-0.0804
2026-04-26 18:46:54.953,32,0.2339,-0.1407,0.1471,-0.3153,-0.0826
2026-04-26 18:46:54.988,33,0.2342,-0.1390,0.1457,-0.3122,-0.0848
2026-04-26 18:46:55.012,34,0.2344,-0.1373,0.1444,-0.3090,-0.0869
2026-04-26 18:46:55.035,35,0.2347,-0.1356,0.1431,-0.3059,-0.0891
2026-04-26 18:46:55.054,36,0.2349,-0.1340,0.1417,-0.3028,-0.0913
2026-04-26 18:46:55.071,37,0.2351,-0.1323,0.1404,-0.2997,-0.0934
2026-04-26 18:46:55.099,38,0.2353,-0.1306,0.1391,-0.2966,-0.0956
2026-04-26 18:46:55.115,39,0.2355,-0.1290,0.1378,-0.2935,-0.0977
2026-04-26 18:46:55.133,40,0.2356,-0.1273,0.1366,-0.2903,-0.0997
2026-04-26 18:46:55.148,41,0.2358,-0.1257,0.1353,-0.2871,-0.1018
2026-04-26 18:46:55.169,42,0.2359,-0.1241,0.1341,-0.2840,-0.1039
2026-04-26 18:46:55.189,43,0.2360,-0.1224,0.1328,-0.2809,-0.1059
2026-04-26 18:46:55.210,44,0.2361,-0.1208,0.1316,-0.2777,-0.1080
2026-04-26 18:46:55.236,45,0.2362,-0.1192,0.1304,-0.2746,-0.1100
2026-04-26 18:46:55.263,46,0.2362,-0.1176,0.1292,-0.2715,-0.1120
2026-04-26 18:46:55.289,47,0.2362,-0.1160,0.1280,-0.2683,-0.1140
2026-04-26 18:46:55.314,48,0.2362,-0.1145,0.1268,-0.2651,-0.1160
2026-04-26 18:46:55.342,49,0.2361,-0.1129,0.1256,-0.2619,-0.1179
2026-04-26 18:46:55.368,50,0.2360,-0.1113,0.1245,-0.2587,-0.1198
2026-04-26 18:46:55.386,51,0.2360,-0.1098,0.1233,-0.2555,-0.1218
2026-04-26 18:46:55.404,52,0.2359,-0.1082,0.1222,-0.2523,-0.1237
2026-04-26 18:46:55.426,53,0.2358,-0.1067,0.1211,-0.2491,-0.1256
2026-04-26 18:46:55.443,54,0.2356,-0.1051,0.1200,-0.2459,-0.1275
2026-04-26 18:46:55.461,55,0.2356,-0.1036,0.1188,-0.2428,-0.1294
2026-04-26 18:46:55.476,56,0.2355,-0.1021,0.1177,-0.2397,-0.1313
2026-04-26 18:46:55.496,57,0.2355,-0.1006,0.1166,-0.2366,-0.1331
2026-04-26 18:46:55.520,58,0.2354,-0.0991,0.1155,-0.2336,-0.1350
2026-04-26 18:46:55.538,59,0.2353,-0.0976,0.1144,-0.2305,-0.1368
2026-04-26 18:46:55.559,60,0.2353,-0.0961,0.1133,-0.2275,-0.1387
2026-04-26 18:46:55.582,61,0.2352,-0.0946,0.1122,-0.2244,-0.1405
2026-04-26 18:46:55.603,62,0.2351,-0.0932,0.1111,-0.2214,-0.1423
2026-04-26 18:46:55.631,63,0.2350,-0.0917,0.1100,-0.2184,-0.1441
2026-04-26 18:46:55.668,64,0.2350,-0.0902,0.1089,-0.2154,-0.1460
2026-04-26 18:46:55.695,65,0.2349,-0.0888,0.1079,-0.2124,-0.1478
2026-04-26 18:46:55.714,66,0.2349,-0.0873,0.1068,-0.2095,-0.1496
2026-04-26 18:46:55.733,67,0.2348,-0.0859,0.1057,-0.2066,-0.1513
2026-04-26 18:46:55.756,68,0.2348,-0.0845,0.1046,-0.2037,-0.1531
2026-04-26 18:46:55.780,69,0.2348,-0.0830,0.1036,-0.2008,-0.1549
2026-04-26 18:46:55.802,70,0.2347,-0.0816,0.1025,-0.1980,-0.1566
2026-04-26 18:46:55.820,71,0.2347,-0.0802,0.1015,-0.1951,-0.1584
2026-04-26 18:46:55.843,72,0.2347,-0.0788,0.1005,-0.1923,-0.1601
2026-04-26 18:46:55.864,73,0.2346,-0.0774,0.0994,-0.1895,-0.1619
2026-04-26 18:46:55.881,74,0.2346,-0.0760,0.0984,-0.1867,-0.1636
2026-04-26 18:46:55.897,75,0.2346,-0.0747,0.0973,-0.1839,-0.1653
2026-04-26 18:46:55.916,76,0.2345,-0.0733,0.0963,-0.1811,-0.1670
2026-04-26 18:46:55.937,77,0.2345,-0.0719,0.0953,-0.1784,-0.1687
2026-04-26 18:46:55.959,78,0.2346,-0.0706,0.0943,-0.1757,-0.1704
2026-04-26 18:46:55.978,79,0.2346,-0.0692,0.0933,-0.1730,-0.1721
2026-04-26 18:46:56.001,80,0.2347,-0.0679,0.0922,-0.1704,-0.1738
2026-04-26 18:46:56.020,81,0.2348,-0.0665,0.0912,-0.1678,-0.1755
2026-04-26 18:46:56.043,82,0.2348,-0.0652,0.0902,-0.1652,-0.1772
2026-04-26 18:46:56.065,83,0.2348,-0.0639,0.0892,-0.1625,-0.1789
2026-04-26 18:46:56.080,84,0.2348,-0.0625,0.0882,-0.1599,-0.1805
2026-04-26 18:46:56.096,85,0.2347,-0.0612,0.0872,-0.1572,-0.1821
2026-04-26 18:46:56.114,86,0.2347,-0.0599,0.0863,-0.1545,-0.1838
2026-04-26 18:46:56.136,87,0.2346,-0.0586,0.0853,-0.1519,-0.1854
2026-04-26 18:46:56.159,88,0.2346,-0.0573,0.0843,-0.1493,-0.1870
2026-04-26 18:46:56.176,89,0.2346,-0.0560,0.0834,-0.1467,-0.1886
2026-04-26 18:46:56.224,90,0.2346,-0.0548,0.0824,-0.1442,-0.1902
2026-04-26 18:46:56.236,91,0.2347,-0.0535,0.0815,-0.1416,-0.1918
2026-04-26 18:46:56.251,92,0.2347,-0.0522,0.0805,-0.1391,-0.1934
2026-04-26 18:46:56.264,93,0.2347,-0.0510,0.0796,-0.1366,-0.1950
2026-04-26 18:46:56.278,94,0.2346,-0.0497,0.0786,-0.1341,-0.1965
2026-04-26 18:46:56.294,95,0.2346,-0.0485,0.0777,-0.1315,-0.1981
2026-04-26 18:46:56.306,96,0.2346,-0.0472,0.0768,-0.1290,-0.1996
2026-04-26 18:46:56.317,97,0.2345,-0.0460,0.0758,-0.1265,-0.2012
2026-04-26 18:46:56.330,98,0.2345,-0.0447,0.0749,-0.1240,-0.2027
2026-04-26 18:46:56.342,99,0.2344,-0.0435,0.0740,-0.1215,-0.2042
2026-04-26 18:46:56.353,100,0.2344,-0.0423,0.0731,-0.1190,-0.2057
2026-04-26 18:46:56.365,101,0.2343,-0.0411,0.0722,-0.1165,-0.2072
2026-04-26 18:46:56.375,102,0.2342,-0.0399,0.0714,-0.1140,-0.2087
2026-04-26 18:46:56.387,103,0.2342,-0.0387,0.0705,-0.1116,-0.2102
2026-04-26 18:46:56.395,104,0.2341,-0.0375,0.0696,-0.1091,-0.2117
2026-04-26 18:46:56.407,105,0.2341,-0.0363,0.0687,-0.1067,-0.2131
2026-04-26 18:46:56.417,106,0.2340,-0.0351,0.0679,-0.1042,-0.2146
2026-04-26 18:46:56.426,107,0.2339,-0.0340,0.0670,-0.1018,-0.2160
2026-04-26 18:46:56.436,108,0.2338,-0.0328,0.0661,-0.0994,-0.2175
2026-04-26 18:46:56.445,109,0.2337,-0.0316,0.0653,-0.0969,-0.2189
2026-04-26 18:46:56.456,110,0.2336,-0.0305,0.0644,-0.0945,-0.2203
2026-04-26 18:46:56.468,111,0.2335,-0.0293,0.0636,-0.0921,-0.2217
