timestamp,episode,carol_help_regret,carol_decline_regret,carol_reciprocate_regret
2026-04-26 18:49:33.777,1,1.4800,-2.0200,0.9200
2026-04-26 18:49:33.840,2,1.0800,-2.2800,2.0600
2026-04-26 18:49:33.883,3,2.4800,-3.6800,2.6200
2026-04-26 18:49:33.920,4,1.8400,-4.1800,4.2200
2026-04-26 18:49:33.960,5,3.0000,-5.6800,5.2400
2026-04-26 18:49:33.995,6,3.1600,-6.2200,6.1000
2026-04-26 18:49:34.030,7,4.0400,-7.4400,6.9800
2026-04-26 18:49:34.066,8,4.0000,-8.0400,7.9200
2026-04-26 18:49:34.108,9,4.9200,-8.5200,7.7200
2026-04-26 18:49:34.140,10,5.5600,-9.2800,8.2200
2026-04-26 18:49:34.167,11,5.4800,-9.6400,8.9800
2026-04-26 18:49:34.190,12,4.9200,-11.0400,11.6400
2026-04-26 18:49:34.214,13,5.2000,-12.4400,13.1800
2026-04-26 18:49:34.239,14,5.7600,-13.2800,14.0200
2026-04-26 18:49:34.264,15,6.3600,-14.2200,15.0400
2026-04-26 18:49:34.294,16,6.6000,-15.8000,17.1000
2026-04-26 18:49:34.316,17,8.2000,-16.8600,17.1600
2026-04-26 18:49:34.334,18,8.5600,-17.3400,17.8000
2026-04-26 18:49:34.352,19,8.8800,-18.0000,18.6800
2026-04-26 18:49:34.369,20,10.0000,-18.9800,18.8200
2026-04-26 18:49:34.385,21,12.2400,-20.2400,18.4000
2026-04-26 18:49:34.405,22,12.8400,-21.3200,19.0000
2026-04-26 18:49:34.425,23,13.9200,-21.7800,18.6800
2026-04-26 18:49:34.454,24,14.6000,-22.3600,18.9400
2026-04-26 18:49:34.474,25,15.8800,-23.7400,19.2400
2026-04-26 18:49:34.494,26,17.4000,-24.8800,19.2200
2026-04-26 18:49:34.516,27,19.0800,-25.8600,18.9400
2026-04-26 18:49:34.536,28,20.6800,-26.9200,19.0000
2026-04-26 18:49:34.552,29,22.4400,-27.9600,18.5200
2026-04-26 18:49:34.567,30,22.5600,-28.2600,19.2000
2026-04-26 18:49:34.583,31,25.4800,-30.2400,18.9000
2026-04-26 18:49:34.610,32,25.7200,-31.1200,19.9800
2026-04-26 18:49:34.625,33,26.4400,-31.5200,20.0000
2026-04-26 18:49:34.638,34,26.5200,-32.4200,21.2000
2026-04-26 18:49:34.653,35,26.2400,-33.2600,22.7400
2026-04-26 18:49:34.668,36,27.8000,-34.6400,23.1800
2026-04-26 18:49:34.682,37,29.0800,-35.7400,23.4800
2026-04-26 18:49:34.696,38,28.7600,-37.0400,25.6800
2026-04-26 18:49:34.710,39,28.7600,-37.1800,26.2400
2026-04-26 18:49:34.728,40,31.4000,-38.6000,25.6600
2026-04-26 18:49:34.747,41,31.6000,-39.2400,26.2800
2026-04-26 18:49:34.766,42,32.4400,-40.9200,27.4000
2026-04-26 18:49:34.781,43,32.5200,-41.9600,28.7400
2026-04-26 18:49:34.794,44,33.6400,-43.0800,29.4400
2026-04-26 18:49:34.808,45,33.1200,-44.3000,31.8600
2026-04-26 18:49:34.824,46,33.6000,-45.0800,32.4800
2026-04-26 18:49:34.837,47,34.8800,-46.0400,32.5000
2026-04-26 18:49:34.850,48,35.0000,-47.1800,34.1600
2026-04-26 18:49:34.862,49,35.7200,-48.4200,35.1600
2026-04-26 18:49:34.876,50,36.1600,-49.5200,36.1600
2026-04-26 18:49:34.888,51,38.3600,-50.8200,35.8400
2026-04-26 18:49:34.903,52,38.9200,-51.6600,36.6800
2026-04-26 18:49:34.916,53,39.6400,-52.7600,37.4000
2026-04-26 18:49:34.928,54,39.7600,-53.4800,38.3600
2026-04-26 18:49:34.940,55,39.7200,-54.3600,39.7200
2026-04-26 18:49:34.953,56,41.2000,-55.1200,39.5200
2026-04-26 18:49:34.966,57,41.6800,-55.9000,40.1400
2026-04-26 18:49:34.979,58,42.2000,-56.7800,40.9400
2026-04-26 18:49:34.991,59,43.6400,-57.5800,40.7000
2026-04-26 18:49:35.005,60,44.7200,-58.7400,41.0800
2026-04-26 18:49:35.018,61,45.4400,-59.7000,41.9400
2026-04-26 18:49:35.031,62,46.2000,-61.0400,42.8400
2026-04-26 18:49:35.044,63,47.1200,-61.8000,43.0600
2026-04-26 18:49:35.057,64,47.8400,-62.4800,43.5000
2026-04-26 18:49:35.071,65,47.8400,-62.9000,44.4800
2026-04-26 18:49:35.083,66,47.6400,-64.5000,46.6600
2026-04-26 18:49:35.095,67,46.8400,-65.8600,49.2200
2026-04-26 18:49:35.108,68,48.2400,-67.2600,49.5000
2026-04-26 18:49:35.119,69,49.2400,-67.6600,49.3800
2026-04-26 18:49:35.132,70,50.0800,-68.0800,49.3800
2026-04-26 18:49:35.145,71,52.2400,-69.5600,49.1600
2026-04-26 18:49:35.158,72,52.2800,-70.5000,50.3200
2026-04-26 18:49:35.171,73,53.4400,-72.0000,51.0600
2026-04-26 18:49:35.184,74,54.2000,-72.3600,51.1200
2026-04-26 18:49:35.198,75,56.0000,-73.3600,50.6800
2026-04-26 18:49:35.212,76,55.2000,-74.4400,53.1000
2026-04-26 18:49:35.227,77,55.1200,-75.5000,54.7000
2026-04-26 18:49:35.244,78,56.0800,-76.2200,54.9600
2026-04-26 18:49:35.255,79,56.7200,-77.2600,55.4600
2026-04-26 18:49:35.270,80,58.6400,-78.1400,55.0000
2026-04-26 18:49:35.281,81,58.2400,-78.8200,56.5600
2026-04-26 18:49:35.296,82,58.6800,-80.0600,58.1200
2026-04-26 18:49:35.312,83,59.6400,-80.9200,58.5200
2026-04-26 18:49:35.325,84,61.4400,-82.4800,58.9200
2026-04-26 18:49:35.348,85,62.3600,-83.5200,59.5600
2026-04-26 18:49:35.361,86,62.2800,-84.7200,60.8800
2026-04-26 18:49:35.407,87,62.5200,-85.3200,61.5400
2026-04-26 18:49:35.418,88,63.8400,-86.2400,61.6000
2026-04-26 18:49:35.429,89,63.5600,-86.3800,62.4400
2026-04-26 18:49:35.440,90,64.3600,-86.4200,62.1200
2026-04-26 18:49:35.451,91,65.4800,-87.8200,62.9600
2026-04-26 18:49:35.462,92,66.7600,-88.9200,63.2600
2026-04-26 18:49:35.477,93,67.4400,-90.2000,64.2200
2026-04-26 18:49:35.490,94,68.0000,-91.6000,65.4800
2026-04-26 18:49:35.503,95,68.4000,-92.7400,66.8600
2026-04-26 18:49:35.513,96,69.5200,-93.8600,67.2800
2026-04-26 18:49:35.525,97,70.0400,-95.0200,68.5000
2026-04-26 18:49:35.536,98,70.4400,-95.0400,68.4800
2026-04-26 18:49:35.551,99,70.1200,-95.7800,70.1200
2026-04-26 18:49:35.568,100,69.7200,-96.6000,71.5400
2026-04-26 18:49:35.583,101,71.7600,-98.4800,71.7600
2026-04-26 18:49:35.598,102,72.0800,-99.4200,72.6400
2026-04-26 18:49:35.611,103,73.7600,-100.9600,72.7800
2026-04-26 18:49:35.623,104,73.4800,-101.3800,73.7600
2026-04-26 18:49:35.637,105,74.4000,-102.4200,74.4000
2026-04-26 18:49:35.649,106,75.0000,-102.9400,74.4400
2026-04-26 18:49:35.659,107,75.6400,-103.9800,75.3600
2026-04-26 18:49:35.669,108,75.3600,-104.8200,76.9000
2026-04-26 18:49:35.682,109,74.7600,-105.0000,77.9800
2026-04-26 18:49:35.695,110,76.0400,-106.1000,78.2800
2026-04-26 18:49:35.711,111,76.0000,-106.7000,79.5000
2026-04-26 18:49:35.728,112,77.0800,-107.4400,79.6000
2026-04-26 18:49:35.743,113,77.6800,-107.8200,79.7800
2026-04-26 18:49:35.755,114,78.8800,-109.0000,80.4200
2026-04-26 18:49:35.768,115,79.0400,-109.8200,81.5600
2026-04-26 18:49:35.780,116,79.2800,-110.8400,82.7800
2026-04-26 18:49:35.791,117,80.5600,-111.3800,82.5200
2026-04-26 18:49:35.801,118,80.8800,-112.7400,84.1000
2026-04-26 18:49:35.810,119,80.5600,-112.9200,84.9000
2026-04-26 18:49:35.820,120,80.9200,-113.2600,84.9800
2026-04-26 18:49:35.835,121,80.8000,-114.5000,86.6800
2026-04-26 18:49:35.845,122,80.3600,-115.2200,88.2000
2026-04-26 18:49:35.855,123,80.4800,-116.3600,89.8600
2026-04-26 18:49:35.863,124,80.6800,-117.1400,91.0400
2026-04-26 18:49:35.874,125,80.6800,-117.8400,92.1600
2026-04-26 18:49:35.888,126,82.4800,-118.4200,91.4400
2026-04-26 18:49:35.898,127,82.5600,-119.6000,93.0600
2026-04-26 18:49:35.909,128,83.7200,-121.3800,93.8000
2026-04-26 18:49:35.917,129,84.6000,-122.8800,94.6800
2026-04-26 18:49:35.928,130,84.2000,-123.4200,95.9600
