timestamp,episode,carol_help_regret,carol_decline_regret,carol_reciprocate_regret
2026-04-26 18:47:11.784,1,1.4800,-1.6000,0.3600
2026-04-26 18:47:11.848,2,1.4000,-2.1000,1.4000
2026-04-26 18:47:11.893,3,4.2400,-3.4600,0.7400
2026-04-26 18:47:11.939,4,4.5600,-4.8200,2.3200
2026-04-26 18:47:11.984,5,4.9600,-6.8000,4.2600
2026-04-26 18:47:12.025,6,7.0000,-7.8400,3.9200
2026-04-26 18:47:12.060,7,9.4000,-9.7800,3.8000
2026-04-26 18:47:12.093,8,9.5200,-10.7800,5.1800
2026-04-26 18:47:12.141,9,11.6400,-12.4400,5.2000
2026-04-26 18:47:12.188,10,12.3600,-12.9800,5.5000
2026-04-26 18:47:12.224,11,11.8800,-14.4400,7.6800
2026-04-26 18:47:12.264,12,12.3600,-15.9200,9.2800
2026-04-26 18:47:12.296,13,13.6400,-16.4600,9.0200
2026-04-26 18:47:12.323,14,14.2800,-17.7800,9.9400
2026-04-26 18:47:12.359,15,14.8400,-19.3200,11.4800
2026-04-26 18:47:12.393,16,13.7200,-20.5800,14.4200
2026-04-26 18:47:12.419,17,15.7200,-20.9600,13.3400
2026-04-26 18:47:12.443,18,16.6000,-22.0400,13.6600
2026-04-26 18:47:12.468,19,16.5200,-23.5200,16.1000
2026-04-26 18:47:12.494,20,17.3600,-23.9400,16.1000
2026-04-26 18:47:12.513,21,17.6400,-25.3400,17.3600
2026-04-26 18:47:12.536,22,16.5600,-26.4200,20.0600
2026-04-26 18:47:12.563,23,18.0400,-28.4400,20.9800
2026-04-26 18:47:12.581,24,19.1600,-30.5400,22.8000
2026-04-26 18:47:12.600,25,19.6000,-31.2200,23.5200
2026-04-26 18:47:12.625,26,20.3600,-31.8600,24.0000
2026-04-26 18:47:12.650,27,21.4400,-32.3200,23.6800
2026-04-26 18:47:12.670,28,22.8800,-32.8400,23.3000
2026-04-26 18:47:12.685,29,23.8400,-34.4000,24.1200
2026-04-26 18:47:12.701,30,24.6000,-35.6000,25.1600
2026-04-26 18:47:12.731,31,26.3600,-36.3600,24.6800
2026-04-26 18:47:12.748,32,27.1200,-38.1200,26.1400
2026-04-26 18:47:12.766,33,27.8400,-39.3600,27.4200
2026-04-26 18:47:12.785,34,29.0800,-40.3600,27.5400
2026-04-26 18:47:12.803,35,29.6800,-41.1600,28.0000
2026-04-26 18:47:12.819,36,30.0000,-42.3800,29.3000
2026-04-26 18:47:12.837,37,29.9200,-42.8800,30.3400
2026-04-26 18:47:12.851,38,30.3200,-43.1800,30.4600
2026-04-26 18:47:12.873,39,31.6800,-43.5000,30.0000
