timestamp,episode,carol_openness,carol_conscientiousness,carol_extraversion,carol_agreeableness,carol_neuroticism
2026-04-26 18:49:48.294,1,0.1987,-0.1980,0.1988,-0.3947,-0.0022
2026-04-26 18:49:48.365,2,0.1990,-0.1960,0.1972,-0.3911,-0.0047
2026-04-26 18:49:48.406,3,0.1983,-0.1940,0.1959,-0.3864,-0.0070
2026-04-26 18:49:48.447,4,0.1979,-0.1921,0.1946,-0.3821,-0.0094
2026-04-26 18:49:48.489,5,0.1983,-0.1901,0.1930,-0.3785,-0.0119
2026-04-26 18:49:48.526,6,0.1979,-0.1881,0.1916,-0.3742,-0.0143
2026-04-26 18:49:48.555,7,0.1974,-0.1862,0.1903,-0.3698,-0.0166
2026-04-26 18:49:48.581,8,0.1971,-0.1843,0.1889,-0.3656,-0.0189
2026-04-26 18:49:48.621,9,0.1965,-0.1824,0.1876,-0.3612,-0.0212
2026-04-26 18:49:48.650,10,0.1960,-0.1804,0.1863,-0.3569,-0.0234
2026-04-26 18:49:48.676,11,0.1961,-0.1785,0.1849,-0.3532,-0.0258
2026-04-26 18:49:48.700,12,0.1962,-0.1766,0.1834,-0.3495,-0.0282
2026-04-26 18:49:48.722,13,0.1960,-0.1748,0.1821,-0.3455,-0.0305
2026-04-26 18:49:48.754,14,0.1958,-0.1729,0.1807,-0.3416,-0.0328
2026-04-26 18:49:48.783,15,0.1957,-0.1710,0.1793,-0.3377,-0.0351
2026-04-26 18:49:48.806,16,0.1959,-0.1692,0.1779,-0.3342,-0.0375
2026-04-26 18:49:48.826,17,0.1959,-0.1673,0.1765,-0.3306,-0.0398
2026-04-26 18:49:48.846,18,0.1960,-0.1655,0.1751,-0.3270,-0.0421
2026-04-26 18:49:48.870,19,0.1962,-0.1637,0.1737,-0.3235,-0.0445
2026-04-26 18:49:48.893,20,0.1964,-0.1618,0.1723,-0.3201,-0.0468
2026-04-26 18:49:48.913,21,0.1967,-0.1600,0.1708,-0.3168,-0.0491
2026-04-26 18:49:48.946,22,0.1973,-0.1582,0.1694,-0.3137,-0.0515
2026-04-26 18:49:48.985,23,0.1977,-0.1564,0.1679,-0.3106,-0.0539
2026-04-26 18:49:49.014,24,0.1982,-0.1547,0.1664,-0.3076,-0.0562
2026-04-26 18:49:49.049,25,0.1986,-0.1529,0.1650,-0.3044,-0.0586
2026-04-26 18:49:49.076,26,0.1991,-0.1511,0.1636,-0.3013,-0.0609
2026-04-26 18:49:49.109,27,0.1994,-0.1494,0.1622,-0.2982,-0.0632
2026-04-26 18:49:49.139,28,0.1997,-0.1476,0.1608,-0.2949,-0.0654
2026-04-26 18:49:49.159,29,0.2000,-0.1459,0.1594,-0.2917,-0.0676
2026-04-26 18:49:49.177,30,0.2003,-0.1442,0.1580,-0.2886,-0.0699
2026-04-26 18:49:49.201,31,0.2005,-0.1424,0.1567,-0.2854,-0.0721
2026-04-26 18:49:49.221,32,0.2008,-0.1407,0.1553,-0.2822,-0.0743
2026-04-26 18:49:49.241,33,0.2010,-0.1390,0.1540,-0.2790,-0.0765
2026-04-26 18:49:49.261,34,0.2012,-0.1373,0.1527,-0.2759,-0.0787
2026-04-26 18:49:49.278,35,0.2014,-0.1356,0.1514,-0.2727,-0.0808
2026-04-26 18:49:49.295,36,0.2017,-0.1340,0.1500,-0.2696,-0.0830
2026-04-26 18:49:49.314,37,0.2019,-0.1323,0.1487,-0.2665,-0.0851
2026-04-26 18:49:49.329,38,0.2021,-0.1306,0.1474,-0.2634,-0.0872
2026-04-26 18:49:49.347,39,0.2022,-0.1290,0.1462,-0.2602,-0.0893
2026-04-26 18:49:49.363,40,0.2024,-0.1273,0.1449,-0.2570,-0.0914
2026-04-26 18:49:49.378,41,0.2025,-0.1257,0.1436,-0.2539,-0.0935
2026-04-26 18:49:49.392,42,0.2027,-0.1241,0.1424,-0.2508,-0.0956
2026-04-26 18:49:49.409,43,0.2030,-0.1224,0.1411,-0.2478,-0.0977
