episode,carol_adapted,carol_innate,bob_adapted,bob_innate,dave_adapted,dave_innate,carol_observed_ratio,carol_phi
1,0.1000,0.10,0.4000,0.40,0.9000,0.90,0.0000,1
2,0.1200,0.10,0.4000,0.40,0.9000,0.90,0.0000,1
3,0.1400,0.10,0.4000,0.40,0.9000,0.90,0.0769,1
4,0.1399,0.10,0.4200,0.40,0.9000,0.90,0.1176,1
5,0.1398,0.10,0.4199,0.40,0.8500,0.90,0.0870,1
6,0.1396,0.10,0.4199,0.40,0.8502,0.90,0.1111,1
7,0.1395,0.10,0.4198,0.40,0.8503,0.90,0.0909,1
8,0.1595,0.10,0.4198,0.40,0.8500,0.90,0.0857,1
9,0.1593,0.10,0.4197,0.40,0.8502,0.90,0.0769,1
10,0.1592,0.10,0.4196,0.40,0.8503,0.90,0.1190,1
11,0.1792,0.10,0.4196,0.40,0.8504,0.90,0.1333,1
12,0.1992,0.10,0.4396,0.40,0.8506,0.90,0.1875,1
13,0.2192,0.10,0.4395,0.40,0.8500,0.90,0.1765,1
14,0.2188,0.10,0.4393,0.40,0.8502,0.90,0.1731,1
15,0.2388,0.10,0.4392,0.40,0.8503,0.90,0.1698,1
16,0.2588,0.10,0.4592,0.40,0.8500,0.90,0.1786,1
17,0.2583,0.10,0.4591,0.40,0.8502,0.90,0.1833,1
18,0.2783,0.10,0.4589,0.40,0.8503,0.90,0.2273,0
19,0.2778,0.10,0.4789,0.40,0.8504,0.90,0.2286,0
20,0.2978,0.10,0.4786,0.40,0.8506,0.90,0.2222,0
21,0.2972,0.10,0.4784,0.40,0.8500,0.90,0.2278,0
22,0.2966,0.10,0.4782,0.40,0.8502,0.90,0.2289,0
23,0.3166,0.10,0.4779,0.40,0.8503,0.90,0.2262,0
24,0.3160,0.10,0.4777,0.40,0.8504,0.90,0.2360,0
25,0.3360,0.10,0.4775,0.40,0.8506,0.90,0.2333,0
26,0.3353,0.10,0.4772,0.40,0.8507,0.90,0.2421,0
27,0.3553,0.10,0.4972,0.40,0.8500,0.90,0.2474,0
28,0.3545,0.10,0.4969,0.40,0.8502,0.90,0.2500,0
29,0.3537,0.10,0.5169,0.40,0.8503,0.90,0.2476,0
30,0.3530,0.10,0.5166,0.40,0.8504,0.90,0.2385,0
31,0.3730,0.10,0.5366,0.40,0.8500,0.90,0.2500,0
32,0.3721,0.10,0.5362,0.40,0.8502,0.90,0.2627,0
33,0.3921,0.10,0.5358,0.40,0.8500,0.90,0.2705,0
34,0.3913,0.10,0.5558,0.40,0.8502,0.90,0.2756,0
35,0.4113,0.10,0.5553,0.40,0.8503,0.90,0.2803,0
36,0.4103,0.10,0.5548,0.40,0.8500,0.90,0.2941,0
37,0.4094,0.10,0.5544,0.40,0.8502,0.90,0.3071,0
38,0.4294,0.10,0.5539,0.40,0.8503,0.90,0.3007,0
39,0.4284,0.10,0.5534,0.40,0.8500,0.90,0.3041,0
40,0.4274,0.10,0.5530,0.40,0.8502,0.90,0.3026,0
41,0.4264,0.10,0.5525,0.40,0.8503,0.90,0.3117,0
42,0.4255,0.10,0.5725,0.40,0.8504,0.90,0.3057,0
43,0.4455,0.10,0.5720,0.40,0.8500,0.90,0.3019,0
44,0.4444,0.10,0.5715,0.40,0.8502,0.90,0.3086,0
45,0.4644,0.10,0.5915,0.40,0.8503,0.90,0.3152,0
46,0.4633,0.10,0.6115,0.40,0.8500,0.90,0.3274,0
47,0.4622,0.10,0.6315,0.40,0.8502,0.90,0.3295,0
48,0.4822,0.10,0.6308,0.40,0.8503,0.90,0.3333,0
49,0.4811,0.10,0.6508,0.40,0.8500,0.90,0.3390,0
50,0.4800,0.10,0.6500,0.40,0.8502,0.90,0.3315,0
51,0.4788,0.10,0.6493,0.40,0.8503,0.90,0.3370,0
52,0.4777,0.10,0.6693,0.40,0.8500,0.90,0.3422,0
53,0.4765,0.10,0.6685,0.40,0.8502,0.90,0.3474,0
54,0.4754,0.10,0.6677,0.40,0.8503,0.90,0.3575,0
55,0.4743,0.10,0.6669,0.40,0.8500,0.90,0.3571,0
56,0.4732,0.10,0.6661,0.40,0.8500,0.90,0.3614,0
57,0.4721,0.10,0.6861,0.40,0.8502,0.90,0.3606,0
58,0.4921,0.10,0.6852,0.40,0.8503,0.90,0.3662,0
59,0.5121,0.10,0.6844,0.40,0.8500,0.90,0.3628,0
60,0.5108,0.10,0.6835,0.40,0.8500,0.90,0.3687,0
61,0.5308,0.10,0.6827,0.40,0.8500,0.90,0.3682,0
62,0.5508,0.10,0.7027,0.40,0.8502,0.90,0.3710,0
63,0.5708,0.10,0.7018,0.40,0.8503,0.90,0.3778,0
64,0.5908,0.10,0.7009,0.40,0.8504,0.90,0.3860,0
65,0.5893,0.10,0.6999,0.40,0.8506,0.90,0.3922,0
66,0.5879,0.10,0.6990,0.40,0.8500,0.90,0.3974,0
67,0.5864,0.10,0.7190,0.40,0.8502,0.90,0.3966,0
68,0.5850,0.10,0.7181,0.40,0.8500,0.90,0.3983,0
69,0.5835,0.10,0.7171,0.40,0.8502,0.90,0.4000,0
70,0.5820,0.10,0.7162,0.40,0.8503,0.90,0.4040,0
71,0.5806,0.10,0.7152,0.40,0.8504,0.90,0.4048,0
72,0.5792,0.10,0.7143,0.40,0.8506,0.90,0.4109,0
73,0.5992,0.10,0.7133,0.40,0.8507,0.90,0.4138,0
74,0.6192,0.10,0.7124,0.40,0.8509,0.90,0.4167,0
75,0.6392,0.10,0.7115,0.40,0.8510,0.90,0.4104,0
76,0.6592,0.10,0.7315,0.40,0.8500,0.90,0.4124,0
77,0.6575,0.10,0.7305,0.40,0.8502,0.90,0.4130,0
78,0.6558,0.10,0.7505,0.40,0.8500,0.90,0.4137,0
79,0.6541,0.10,0.7494,0.40,0.8502,0.90,0.4113,0
80,0.6525,0.10,0.7484,0.40,0.8500,0.90,0.4161,0
81,0.6508,0.10,0.7473,0.40,0.8500,0.90,0.4124,0
82,0.6492,0.10,0.7463,0.40,0.8502,0.90,0.4169,0
83,0.6692,0.10,0.7663,0.40,0.8503,0.90,0.4228,0
84,0.6675,0.10,0.7652,0.40,0.8504,0.90,0.4252,0
85,0.6658,0.10,0.7641,0.40,0.8506,0.90,0.4262,0
86,0.6641,0.10,0.7841,0.40,0.8507,0.90,0.4267,0
87,0.6841,0.10,0.7829,0.40,0.8509,0.90,0.4267,0
88,0.7041,0.10,0.7818,0.40,0.8510,0.90,0.4290,0
89,0.7022,0.10,0.7806,0.40,0.8500,0.90,0.4313,0
90,0.7004,0.10,0.8006,0.40,0.8502,0.90,0.4322,0
91,0.6986,0.10,0.7994,0.40,0.8503,0.90,0.4344,0
92,0.6968,0.10,0.7982,0.40,0.8500,0.90,0.4448,0
93,0.7168,0.10,0.7971,0.40,0.8500,0.90,0.4468,0
94,0.7150,0.10,0.7959,0.40,0.8500,0.90,0.4471,0
95,0.7131,0.10,0.8159,0.40,0.8502,0.90,0.4494,0
96,0.7113,0.10,0.8359,0.40,0.8503,0.90,0.4591,0
97,0.7313,0.10,0.8500,0.40,0.8500,0.90,0.4624,0
98,0.7513,0.10,0.8500,0.40,0.8502,0.90,0.4701,0
99,0.7494,0.10,0.8487,0.40,0.8503,0.90,0.4703,0
100,0.7694,0.10,0.8473,0.40,0.8504,0.90,0.4704,0
101,0.7673,0.10,0.8500,0.40,0.8506,0.90,0.4750,0
102,0.7653,0.10,0.8487,0.40,0.8507,0.90,0.4767,0
103,0.7634,0.10,0.8500,0.40,0.8500,0.90,0.4796,0
104,0.7614,0.10,0.8487,0.40,0.8502,0.90,0.4852,0
105,0.7594,0.10,0.8473,0.40,0.8503,0.90,0.4880,0
106,0.7794,0.10,0.8460,0.40,0.8504,0.90,0.4895,0
107,0.7773,0.10,0.8446,0.40,0.8506,0.90,0.4935,0
108,0.7973,0.10,0.8433,0.40,0.8507,0.90,0.4948,0
109,0.7952,0.10,0.8420,0.40,0.8509,0.90,0.4987,0
110,0.7932,0.10,0.8500,0.40,0.8500,0.90,0.5064,0
111,0.7911,0.10,0.8487,0.40,0.8500,0.90,0.5088,0
112,0.8111,0.10,0.8500,0.40,0.8502,0.90,0.5125,0
113,0.8089,0.10,0.8500,0.40,0.8500,0.90,0.5160,0
114,0.8068,0.10,0.8487,0.40,0.8502,0.90,0.5195,0
115,0.8047,0.10,0.8473,0.40,0.8503,0.90,0.5218,0
116,0.8026,0.10,0.8460,0.40,0.8504,0.90,0.5252,0
117,0.8005,0.10,0.8500,0.40,0.8500,0.90,0.5286,0
118,0.7984,0.10,0.8500,0.40,0.8502,0.90,0.5273,0
119,0.8184,0.10,0.8487,0.40,0.8503,0.90,0.5273,0
120,0.8162,0.10,0.8500,0.40,0.8500,0.90,0.5307,0
121,0.8141,0.10,0.8487,0.40,0.8502,0.90,0.5305,0
122,0.8119,0.10,0.8473,0.40,0.8503,0.90,0.5326,0
123,0.8319,0.10,0.8460,0.40,0.8504,0.90,0.5347,0
124,0.8500,0.10,0.8446,0.40,0.8506,0.90,0.5369,0
125,0.8500,0.10,0.8433,0.40,0.8507,0.90,0.5400,0
126,0.8500,0.10,0.8420,0.40,0.8509,0.90,0.5432,0
127,0.8478,0.10,0.8500,0.40,0.8510,0.90,0.5471,0
128,0.8500,0.10,0.8487,0.40,0.8500,0.90,0.5491,0
129,0.8478,0.10,0.8473,0.40,0.8502,0.90,0.5501,0
