iteration,episode,action,reward,carol_help_regret,carol_decline_regret,carol_reciprocate_regret
1,1,help,0.2000,0.0000,-0.2000,-0.2000
2,1,reciprocate,0.2000,0.0000,-0.4000,-0.2000
3,1,reciprocate,0.2000,0.0000,-0.6000,-0.2000
4,1,decline,0.1000,0.1000,-0.6000,-0.1000
5,1,reciprocate,0.2000,0.1000,-0.7000,-0.1000
6,1,decline,0.1000,0.2000,-0.7000,0.0000
7,1,help,0.2000,0.2000,-0.8000,0.0000
8,1,help,0.2000,0.2000,-0.9000,0.0000
9,1,decline,0.1000,0.3000,-0.9000,0.1000
10,1,decline,-0.3000,0.8000,-0.9000,0.6000
11,2,reciprocate,0.5000,0.5000,-1.4000,0.6000
12,2,help,0.2000,0.5000,-1.6000,0.6750
13,2,decline,0.1000,0.6000,-1.6000,0.8500
14,2,reciprocate,0.2000,0.6000,-1.7800,0.8500
15,2,decline,-0.3000,1.1000,-1.7800,1.4100
16,2,help,0.6000,1.1000,-2.4133,1.0700
17,2,help,0.2000,1.1000,-2.6467,1.1300
18,2,reciprocate,0.5000,0.8667,-3.1800,1.1300
19,2,decline,0.1000,1.0333,-3.1800,1.3300
20,2,reciprocate,0.2000,1.1000,-3.3943,1.3300
21,3,help,0.2000,1.1000,-3.6086,1.4157
22,3,reciprocate,0.5000,0.8571,-4.1229,1.4157
23,3,help,0.2000,0.8571,-4.3371,1.5282
24,3,help,0.2000,0.8571,-4.5514,1.6407
25,3,help,0.2000,0.8571,-4.7657,1.7532
26,3,help,0.2000,0.8571,-4.9800,1.8657
27,3,reciprocate,0.5000,0.5935,-5.4943,1.8657
28,3,help,0.2000,0.5935,-5.7086,1.9990
29,3,decline,-0.3000,1.1268,-5.7086,2.6324
30,3,decline,0.1000,1.2602,-5.7086,2.8657
31,4,reciprocate,0.2000,1.2935,-5.9419,2.8657
32,4,help,0.2000,1.2935,-6.1752,2.9857
33,4,reciprocate,0.5000,1.0243,-6.7086,2.9857
34,4,decline,0.1000,1.1550,-6.7086,3.2221
35,4,help,0.2000,1.1550,-6.9286,3.3584
36,4,reciprocate,0.2000,1.1836,-7.1486,3.3584
37,4,decline,-0.3000,1.7122,-7.1486,3.9834
38,4,reciprocate,0.2000,1.7408,-7.3940,3.9834
39,4,reciprocate,0.5000,1.4693,-7.9395,3.9834
40,4,help,0.2000,1.4693,-8.1849,4.1120
41,5,decline,0.1000,1.5960,-8.1849,4.3406
42,5,help,0.6000,1.5960,-8.8183,4.0692
43,5,reciprocate,0.2000,1.6460,-9.0516,4.0692
44,5,decline,0.1000,1.7960,-9.0516,4.2892
45,5,help,0.6000,1.7960,-9.6747,4.0092
46,5,reciprocate,0.5000,1.5666,-10.1978,4.0092
47,5,reciprocate,0.5000,1.3372,-10.7208,4.0092
48,5,decline,0.1000,1.5078,-10.7208,4.2503
49,5,reciprocate,0.2000,1.5784,-10.9351,4.2503
50,5,reciprocate,0.2000,1.6489,-11.1494,4.2503
51,6,decline,0.1000,1.8195,-11.1494,4.4766
52,6,decline,0.1000,1.9901,-11.1494,4.7030
53,6,help,0.2000,1.9901,-11.3494,4.8293
54,6,help,0.6000,1.9901,-11.9494,4.5556
55,6,help,0.2000,1.9901,-12.1494,4.6819
56,6,help,0.6000,1.9901,-12.7494,4.4082
57,6,help,0.6000,1.9901,-13.3494,4.1345
58,6,help,0.6000,1.9901,-13.9494,3.8609
59,6,reciprocate,0.2000,2.1119,-14.1494,3.8609
60,6,reciprocate,0.5000,1.9336,-14.6494,3.8609
61,7,help,0.6000,1.9336,-15.2494,3.5894
62,7,help,0.2000,1.9336,-15.4494,3.7180
63,7,help,0.6000,1.9336,-16.0494,3.4466
64,7,decline,0.1000,2.1721,-16.0494,3.6751
65,7,help,0.6000,2.1721,-16.6435,3.4037
66,7,reciprocate,0.5000,2.0202,-17.1376,3.4037
67,7,help,0.2000,2.0202,-17.3318,3.5401
68,7,reciprocate,0.2000,2.1631,-17.5259,3.5401
69,7,decline,0.1000,2.4059,-17.5259,3.7705
70,7,decline,0.1000,2.6488,-17.5259,4.0009
71,8,decline,0.1000,2.8916,-17.5259,4.2314
72,8,help,0.2000,2.8916,-17.7059,4.3618
73,8,reciprocate,0.5000,2.7296,-18.1859,4.3618
74,8,decline,0.1000,2.9675,-18.1859,4.5993
75,8,help,0.2000,2.9675,-18.3621,4.7368
76,8,decline,-0.3000,3.6008,-18.3621,5.3743
77,8,reciprocate,0.5000,3.4342,-18.8530,5.3743
78,8,reciprocate,0.2000,3.5675,-19.0439,5.3743
79,8,decline,-0.3000,4.2008,-19.0439,6.0128
80,8,reciprocate,0.5000,4.0342,-19.5482,6.0128
81,9,reciprocate,0.2000,4.1675,-19.7526,6.0128
82,9,decline,0.1000,4.4008,-19.7526,6.2521
83,9,decline,-0.3000,5.0342,-19.7526,6.8914
84,9,reciprocate,0.5000,4.8675,-20.2646,6.8914
85,9,help,0.2000,4.8675,-20.4766,7.0362
86,9,help,0.2000,4.8675,-20.6886,7.1810
87,9,help,0.2000,4.8675,-20.9006,7.3258
88,9,decline,0.1000,5.0887,-20.9006,7.5707
89,9,help,0.2000,5.0887,-21.1083,7.7155
90,9,help,0.2000,5.0887,-21.3160,7.8603
91,10,decline,0.1000,5.3030,-21.3160,8.1051
92,10,reciprocate,0.2000,5.4173,-21.5197,8.1051
93,10,reciprocate,0.5000,5.2316,-22.0234,8.1051
94,10,help,0.2000,5.2316,-22.2271,8.2503
95,10,decline,0.1000,5.4427,-22.2271,8.4955
96,10,reciprocate,0.5000,5.2538,-22.7271,8.4955
97,10,help,0.2000,5.2538,-22.9271,8.6455
98,10,decline,-0.3000,5.8619,-22.9271,9.2955
99,10,help,0.6000,5.8619,-23.5374,9.0455
100,10,help,0.6000,5.8619,-24.1478,8.7955
101,11,reciprocate,0.5000,5.6850,-24.6581,8.7955
102,11,decline,0.1000,5.9080,-24.6581,9.0500
103,11,reciprocate,0.5000,5.7311,-25.1648,9.0500
104,11,decline,0.1000,5.9542,-25.1648,9.3088
105,11,decline,0.1000,6.1773,-25.1648,9.5677
106,11,decline,-0.3000,6.8004,-25.1648,10.2265
107,11,reciprocate,0.5000,6.6234,-25.6739,10.2265
108,11,reciprocate,0.5000,6.4465,-26.1830,10.2265
109,11,reciprocate,0.2000,6.5696,-26.3920,10.2265
110,11,decline,0.1000,6.7927,-26.3920,10.4886
111,12,reciprocate,0.2000,6.9157,-26.5979,10.4886
112,12,help,0.6000,6.9157,-27.2038,10.2465
113,12,reciprocate,0.5000,6.7457,-27.7097,10.2465
114,12,decline,-0.3000,7.3757,-27.7097,10.9081
115,12,help,0.6000,7.3757,-28.3240,10.6696
116,12,decline,-0.3000,8.0123,-28.3240,11.3312
117,12,reciprocate,0.5000,7.8489,-28.8462,11.3312
118,12,help,0.2000,7.8489,-29.0684,11.4962
119,12,reciprocate,0.2000,7.9822,-29.2906,11.4962
120,12,help,0.2000,7.9822,-29.5129,11.6571
121,13,help,0.6000,7.9822,-30.1351,11.4181
122,13,decline,0.1000,8.2186,-30.1351,11.6791
123,13,help,0.2000,8.2186,-30.3540,11.8401
124,13,decline,0.1000,8.4519,-30.3540,12.1010
125,13,reciprocate,0.2000,8.5853,-30.5698,12.1010
126,13,help,0.2000,8.5853,-30.7856,12.2582
127,13,help,0.6000,8.5853,-31.4014,12.0153
128,13,help,0.6000,8.5853,-32.0172,11.7725
129,13,help,0.2000,8.5853,-32.2330,11.9296
130,13,decline,0.1000,8.8240,-32.2330,12.1867
131,14,decline,-0.3000,9.4628,-32.2330,12.8439
132,14,help,0.2000,9.4628,-32.4530,13.0010
133,14,help,0.6000,9.4628,-33.0730,12.7582
134,14,reciprocate,0.5000,9.3040,-33.5930,12.7582
135,14,decline,-0.3000,9.9452,-33.5930,13.4186
136,14,decline,0.1000,10.1864,-33.5930,13.6791
137,14,decline,-0.3000,10.8275,-33.5930,14.3396
138,14,decline,0.1000,11.0687,-33.5930,14.6000
139,14,reciprocate,0.2000,11.2099,-33.8202,14.6000
140,14,decline,-0.3000,11.8511,-33.8202,15.2569
141,15,reciprocate,0.2000,11.9922,-34.0536,15.2569
142,15,decline,-0.3000,12.6334,-34.0536,15.9102
143,15,reciprocate,0.5000,12.4746,-34.5927,15.9102
144,15,reciprocate,0.2000,12.6158,-34.8318,15.9102
145,15,help,0.6000,12.6158,-35.4710,15.6634
146,15,help,0.6000,12.6158,-36.1101,15.4166
147,15,help,0.2000,12.6158,-36.3492,15.5698
148,15,reciprocate,0.5000,12.4639,-36.8883,15.5698
149,15,help,0.2000,12.4639,-37.1275,15.7260
150,15,reciprocate,0.5000,12.3094,-37.6666,15.7260
151,16,reciprocate,0.5000,12.1548,-38.2057,15.7260
152,16,reciprocate,0.2000,12.3003,-38.4449,15.7260
153,16,reciprocate,0.2000,12.4457,-38.6840,15.7260
154,16,reciprocate,0.2000,12.5912,-38.9231,15.7260
155,16,reciprocate,0.2000,12.7366,-39.1623,15.7260
156,16,reciprocate,0.2000,12.8821,-39.4014,15.7260
157,16,reciprocate,0.2000,13.0276,-39.6405,15.7260
158,16,decline,0.1000,13.2730,-39.6405,15.9707
159,16,decline,0.1000,13.5185,-39.6405,16.2153
160,16,reciprocate,0.2000,13.6639,-39.8739,16.2153
161,17,decline,0.1000,13.9094,-39.8739,16.4574
162,17,help,0.2000,13.9094,-40.1045,16.5995
163,17,help,0.2000,13.9094,-40.3351,16.7416
164,17,decline,0.1000,14.1497,-40.3351,16.9837
165,17,help,0.6000,14.1497,-40.9631,16.7258
166,17,decline,-0.3000,14.7945,-40.9631,17.3679
167,17,decline,0.1000,15.0394,-40.9631,17.6100
168,17,help,0.6000,15.0394,-41.5938,17.3521
169,17,help,0.2000,15.0394,-41.8246,17.4942
170,17,decline,0.1000,15.2860,-41.8246,17.7364
171,18,decline,0.1000,15.5327,-41.8246,17.9785
172,18,decline,0.1000,15.7794,-41.8246,18.2206
173,18,help,0.2000,15.7794,-42.0483,18.3627
174,18,decline,0.1000,16.0236,-42.0483,18.6048
175,18,help,0.6000,16.0236,-42.6697,18.3469
176,18,reciprocate,0.2000,16.1720,-42.8911,18.3469
177,18,reciprocate,0.2000,16.3204,-43.1125,18.3469
178,18,decline,0.1000,16.5688,-43.1125,18.5842
179,18,decline,0.1000,16.8172,-43.1125,18.8215
180,18,decline,0.1000,17.0656,-43.1125,19.0587
181,19,reciprocate,0.5000,16.9140,-43.6278,19.0587
182,19,decline,0.1000,17.1623,-43.6278,19.2987
183,19,reciprocate,0.2000,17.3107,-43.8411,19.2987
184,19,reciprocate,0.5000,17.1591,-44.3545,19.2987
185,19,reciprocate,0.5000,17.0075,-44.8678,19.2987
186,19,help,0.6000,17.0075,-45.4811,19.0416
187,19,help,0.2000,17.0075,-45.6945,19.1845
188,19,decline,0.1000,17.2575,-45.6945,19.4273
189,19,decline,0.1000,17.5075,-45.6945,19.6702
190,19,reciprocate,0.5000,17.3575,-46.2041,19.6702
191,20,decline,0.1000,17.6075,-46.2041,19.9155
192,20,help,0.2000,17.6075,-46.4121,20.0608
193,20,help,0.6000,17.6075,-47.0200,19.8061
194,20,help,0.2000,17.6075,-47.2279,19.9514
195,20,decline,0.1000,17.8568,-47.2279,20.1967
196,20,reciprocate,0.5000,17.7060,-47.7342,20.1967
197,20,reciprocate,0.2000,17.8553,-47.9404,20.1967
198,20,help,0.6000,17.8553,-48.5467,19.9422
199,20,decline,0.1000,18.1082,-48.5467,20.1876
200,20,reciprocate,0.5000,17.9612,-49.0513,20.1876
201,21,reciprocate,0.5000,17.8141,-49.5559,20.1876
202,21,reciprocate,0.5000,17.6670,-50.0605,20.1876
203,21,reciprocate,0.5000,17.5200,-50.5652,20.1876
204,21,reciprocate,0.5000,17.3729,-51.0698,20.1876
205,21,decline,0.1000,17.6259,-51.0698,20.4440
206,21,reciprocate,0.5000,17.4788,-51.5728,20.4440
207,21,reciprocate,0.5000,17.3317,-52.0758,20.4440
208,21,reciprocate,0.5000,17.1847,-52.5789,20.4440
209,21,decline,-0.3000,17.8376,-52.5789,21.1061
210,21,decline,0.1000,18.0906,-52.5789,21.3683
