iteration,episode,person,action,reward,help_bob,decline_bob,delay_bob,help_alice,decline_alice,teach_alice,help_dave,decline_dave,suggest_dave
1,1,bob,delay_bob,0.5000,-0.5000,-0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,bob,help_bob,0.8100,-0.5000,-1.3100,-0.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,bob,delay_bob,0.5100,-0.1950,-1.8150,-0.3100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,bob,help_bob,0.5060,-0.1950,-2.4730,-0.4630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,bob,delay_bob,0.5060,-0.0423,-2.9783,-0.4630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,1,bob,help_bob,0.4020,-0.0423,-3.5510,-0.5303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,1,bob,delay_bob,0.5020,0.0258,-4.0555,-0.5303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,1,bob,help_bob,0.3480,0.0258,-4.5720,-0.5423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,1,bob,delay_bob,-0.3020,0.1991,-4.9152,-0.5423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,bob,decline_bob,-0.0020,0.7176,-4.9152,-0.1971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,1,carol,teach_alice,0.0000,0.7176,-4.9152,-0.1971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,1,carol,help_alice,-0.3040,0.7176,-4.9152,-0.1971,0.0000,0.3040,0.3040,0.0000,0.0000,0.0000
13,1,carol,help_alice,-0.3080,0.7176,-4.9152,-0.1971,0.0000,0.6100,0.6100,0.0000,0.0000,0.0000
14,1,carol,decline_alice,0.5920,0.7176,-4.9152,-0.1971,-0.8980,0.6100,0.0180,0.0000,0.0000,0.0000
15,1,carol,help_alice,-0.3120,0.7176,-4.9152,-0.1971,-0.8980,1.5100,0.3260,0.0000,0.0000,0.0000
16,1,carol,decline_alice,0.5880,0.7176,-4.9152,-0.1971,-1.7960,1.5100,-0.2640,0.0000,0.0000,0.0000
17,1,carol,teach_alice,-0.0120,0.7176,-4.9152,-0.1971,-2.0980,2.1060,-0.2640,0.0000,0.0000,0.0000
18,1,carol,teach_alice,-0.0120,0.7176,-4.9152,-0.1971,-2.3980,2.7040,-0.2640,0.0000,0.0000,0.0000
19,1,carol,decline_alice,0.5880,0.7176,-4.9152,-0.1971,-3.2953,2.7040,-0.8613,0.0000,0.0000,0.0000
20,1,carol,decline_alice,-0.0120,0.7176,-4.9152,-0.1971,-4.0423,2.7040,-1.3083,0.0000,0.0000,0.0000
21,1,dave,help_dave,0.0100,0.7176,-4.9152,-0.1971,-4.0423,2.7040,-1.3083,0.0000,-0.0100,-0.0100
22,1,dave,suggest_dave,0.5100,0.7176,-4.9152,-0.1971,-4.0423,2.7040,-1.3083,-0.5000,-0.5200,-0.0100
23,1,dave,decline_dave,0.0100,0.7176,-4.9152,-0.1971,-4.0423,2.7040,-1.3083,-0.5000,-0.5200,0.4900
24,1,dave,help_dave,0.8200,0.7176,-4.9152,-0.1971,-4.0423,2.7040,-1.3083,-0.5000,-0.9250,0.5850
25,1,dave,help_dave,0.0300,0.7176,-4.9152,-0.1971,-4.0423,2.7040,-1.3083,-0.5000,-1.2017,0.8083
26,1,dave,decline_dave,0.0300,0.7176,-4.9152,-0.1971,-4.0423,2.7040,-1.3083,-0.2333,-1.2017,1.2983
27,1,dave,help_dave,0.8400,0.7176,-4.9152,-0.1971,-4.0423,2.7040,-1.3083,-0.2333,-1.6067,1.3833
28,1,dave,help_dave,0.0500,0.7176,-4.9152,-0.1971,-4.0423,2.7040,-1.3083,-0.2333,-1.9367,1.5433
29,1,dave,decline_dave,0.0500,0.7176,-4.9152,-0.1971,-4.0423,2.7040,-1.3083,0.0867,-1.9367,2.0233
30,1,dave,decline_dave,0.0500,0.7176,-4.9152,-0.1971,-4.0423,2.7040,-1.3083,0.4017,-1.9367,2.4983
31,2,bob,decline_bob,-0.0020,1.2361,-4.9152,0.1481,-4.0423,2.7040,-1.3083,0.4017,-1.9367,2.4983
32,2,bob,help_bob,-0.4860,1.2361,-5.2332,0.1753,-4.0423,2.7040,-1.3083,0.4017,-1.9367,2.4983
33,2,bob,help_bob,0.2900,1.2361,-5.5469,0.2068,-4.0423,2.7040,-1.3083,0.4017,-1.9367,2.4983
34,2,bob,delay_bob,-0.3100,1.3135,-5.7832,0.2068,-4.0423,2.7040,-1.3083,0.4017,-1.9367,2.4983
35,2,bob,decline_bob,0.2900,1.5298,-5.7832,0.3458,-4.0423,2.7040,-1.3083,0.4017,-1.9367,2.4983
36,2,bob,help_bob,-0.4286,1.5298,-5.8938,0.3742,-4.0423,2.7040,-1.3083,0.4017,-1.9367,2.4983
