iteration,episode,person,action,reward,alice_help_bob,alice_decline_bob,alice_delay_bob,alice_help_carol,alice_decline_carol,alice_teach_carol,alice_help_dave,alice_decline_dave,alice_suggest_dave
1,1,bob,alice_delay_bob,0.5000,-0.5000,-0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,1,bob,alice_decline_bob,0.0000,-0.5000,-0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,1,bob,alice_delay_bob,0.5000,-1.0000,-1.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,1,bob,alice_help_bob,0.0100,-1.0000,-1.0100,0.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,1,bob,alice_delay_bob,0.5100,-1.4933,-1.5133,0.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,1,bob,alice_decline_bob,0.0100,-1.4883,-1.5133,1.4883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,1,bob,alice_delay_bob,0.5100,-1.9833,-2.0133,1.4883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,1,bob,alice_help_bob,0.5060,-1.9833,-2.2663,1.7353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,1,bob,alice_decline_bob,0.0060,-1.7307,-2.2663,2.2350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,1,bob,alice_decline_bob,0.0060,-1.4782,-2.2663,2.7345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,1,carol,alice_decline_carol,-0.3000,-1.4782,-2.2663,2.7345,0.3000,0.0000,0.3000,0.0000,0.0000,0.0000
12,1,carol,alice_teach_carol,0.0000,-1.4782,-2.2663,2.7345,0.3000,-0.3000,0.3000,0.0000,0.0000,0.0000
13,1,carol,alice_teach_carol,0.0000,-1.4782,-2.2663,2.7345,0.3000,-0.6000,0.3000,0.0000,0.0000,0.0000
14,1,carol,alice_decline_carol,0.3000,-1.4782,-2.2663,2.7345,0.3000,-0.6000,0.3000,0.0000,0.0000,0.0000
15,1,carol,alice_help_carol,0.1960,-1.4782,-2.2663,2.7345,0.3000,-0.7960,0.1040,0.0000,0.0000,0.0000
16,1,carol,alice_decline_carol,-0.0040,-1.4782,-2.2663,2.7345,0.4973,-0.7960,0.1053,0.0000,0.0000,0.0000
17,1,carol,alice_decline_carol,0.5960,-1.4782,-2.2663,2.7345,0.5453,-0.7960,-0.0427,0.0000,0.0000,0.0000
18,1,carol,alice_decline_carol,0.5960,-1.4782,-2.2663,2.7345,0.5037,-0.7960,-0.2803,0.0000,0.0000,0.0000
19,1,carol,alice_help_carol,0.1920,-1.4782,-2.2663,2.7345,0.5037,-0.7524,-0.4743,0.0000,0.0000,0.0000
20,1,carol,alice_help_carol,-0.3120,-1.4782,-2.2663,2.7345,0.5037,-0.5401,-0.4996,0.0000,0.0000,0.0000
21,1,dave,alice_decline_dave,0.0000,-1.4782,-2.2663,2.7345,0.5037,-0.5401,-0.4996,0.0000,0.0000,0.0000
22,1,dave,alice_decline_dave,0.0000,-1.4782,-2.2663,2.7345,0.5037,-0.5401,-0.4996,0.0000,0.0000,0.0000
23,1,dave,alice_help_dave,0.8100,-1.4782,-2.2663,2.7345,0.5037,-0.5401,-0.4996,0.0000,-0.8100,-0.8100
24,1,dave,alice_help_dave,0.8200,-1.4782,-2.2663,2.7345,0.5037,-0.5401,-0.4996,0.0000,-1.6250,-1.6250
25,1,dave,alice_decline_dave,0.0200,-1.4782,-2.2663,2.7345,0.5037,-0.5401,-0.4996,0.8083,-1.6250,-1.6317
26,1,dave,alice_help_dave,0.8300,-1.4782,-2.2663,2.7345,0.5037,-0.5401,-0.4996,0.8083,-2.4383,-2.4517
