iteration,episode,action,reward,carol_help_alice_regret,carol_decline_alice_regret,carol_reciprocate_alice_regret
1,1,carol_reciprocate_alice,0.2000,-0.2000,-0.2000,0.0000
2,1,carol_decline_alice,-0.3000,0.1000,-0.2000,0.5000
3,1,carol_help_alice,0.2000,0.1000,-0.7000,0.5000
4,1,carol_reciprocate_alice,0.2000,0.1000,-1.2000,0.5000
5,1,carol_decline_alice,-0.3000,0.6000,-1.2000,1.0000
6,1,carol_reciprocate_alice,0.5000,0.3000,-2.0000,1.0000
7,1,carol_reciprocate_alice,0.5000,0.0000,-2.8000,1.0000
8,1,carol_reciprocate_alice,0.2000,0.0000,-3.3000,1.0000
9,1,carol_reciprocate_alice,0.2000,0.0000,-3.8000,1.0000
10,1,carol_reciprocate_alice,0.2000,0.0000,-4.3000,1.0000
11,2,carol_help_alice,0.6000,0.0000,-5.2000,0.6857
12,2,carol_help_alice,0.2000,0.0000,-5.7000,0.7714
13,2,carol_decline_alice,0.1000,0.2333,-5.7000,0.9571
14,2,carol_help_alice,0.2000,0.2333,-6.0667,1.0429
15,2,carol_reciprocate_alice,0.5000,0.0333,-6.7333,1.0429
16,2,carol_reciprocate_alice,0.2000,0.1333,-7.1000,1.0429
17,2,carol_help_alice,0.6000,0.1333,-7.8667,0.7429
18,2,carol_help_alice,0.2000,0.1333,-8.2333,0.8429
19,2,carol_decline_alice,0.1000,0.3667,-8.2333,1.0429
20,2,carol_reciprocate_alice,0.5000,0.2000,-8.8333,1.0429
21,3,carol_help_alice,0.2000,0.2000,-9.1333,1.1629
22,3,carol_decline_alice,0.1000,0.4143,-9.1333,1.3829
23,3,carol_help_alice,0.2000,0.4143,-9.3933,1.5029
24,3,carol_help_alice,0.6000,0.4143,-10.0533,1.2229
25,3,carol_reciprocate_alice,0.2000,0.5476,-10.3133,1.2229
26,3,carol_reciprocate_alice,0.5000,0.3810,-10.8733,1.2229
27,3,carol_decline_alice,0.1000,0.6143,-10.8733,1.4479
28,3,carol_help_alice,0.2000,0.6143,-11.1067,1.5729
29,3,carol_help_alice,0.6000,0.6143,-11.7400,1.2979
30,3,carol_reciprocate_alice,0.2000,0.7597,-11.9733,1.2979
31,4,carol_decline_alice,0.1000,1.0052,-11.9733,1.5132
32,4,carol_reciprocate_alice,0.5000,0.8506,-12.4876,1.5132
33,4,carol_help_alice,0.6000,0.8506,-13.1019,1.2418
34,4,carol_reciprocate_alice,0.2000,1.0173,-13.3162,1.2418
35,4,carol_help_alice,0.2000,1.0173,-13.5305,1.3618
36,4,carol_help_alice,0.6000,1.0173,-14.1448,1.0818
37,4,carol_decline_alice,0.1000,1.2887,-14.1448,1.3018
38,4,carol_help_alice,0.2000,1.2887,-14.3448,1.4218
39,4,carol_reciprocate_alice,0.5000,1.1487,-14.8448,1.4218
40,4,carol_decline_alice,0.1000,1.4087,-14.8448,1.6531
41,5,carol_reciprocate_alice,0.5000,1.2687,-15.3337,1.6531
42,5,carol_reciprocate_alice,0.5000,1.1287,-15.8225,1.6531
43,5,carol_help_alice,0.2000,1.1287,-16.0114,1.8031
44,5,carol_reciprocate_alice,0.2000,1.2787,-16.2003,1.8031
45,5,carol_reciprocate_alice,0.5000,1.1287,-16.6892,1.8031
46,5,carol_reciprocate_alice,0.5000,0.9787,-17.1781,1.8031
47,5,carol_decline_alice,-0.3000,1.6287,-17.1781,2.4602
48,5,carol_help_alice,0.2000,1.6287,-17.3981,2.6173
49,5,carol_decline_alice,0.1000,1.8699,-17.3981,2.8745
50,5,carol_help_alice,0.2000,1.8699,-17.6072,3.0316
51,6,carol_reciprocate_alice,0.5000,1.7033,-18.1163,3.0316
52,6,carol_help_alice,0.2000,1.7033,-18.3254,3.1953
53,6,carol_reciprocate_alice,0.2000,1.8296,-18.5345,3.1953
54,6,carol_decline_alice,0.1000,2.0559,-18.5345,3.4518
55,6,carol_decline_alice,0.1000,2.2822,-18.5345,3.7083
56,6,carol_reciprocate_alice,0.2000,2.4085,-18.7268,3.7083
57,6,carol_reciprocate_alice,0.5000,2.2348,-19.2191,3.7083
58,6,carol_help_alice,0.2000,2.2348,-19.4114,3.8643
59,6,carol_decline_alice,-0.3000,2.8548,-19.4114,4.5203
60,6,carol_help_alice,0.2000,2.8548,-19.6257,4.6763
61,7,carol_help_alice,0.2000,2.8548,-19.8400,4.8323
62,7,carol_reciprocate_alice,0.5000,2.6639,-20.3542,4.8323
63,7,carol_reciprocate_alice,0.5000,2.4730,-20.8685,4.8323
64,7,carol_reciprocate_alice,0.5000,2.2821,-21.3828,4.8323
65,7,carol_help_alice,0.6000,2.2821,-21.9971,4.6037
66,7,carol_decline_alice,0.1000,2.5038,-21.9971,4.8752
67,7,carol_reciprocate_alice,0.5000,2.3256,-22.5038,4.8752
68,7,carol_help_alice,0.6000,2.3256,-23.1104,4.6510
69,7,carol_reciprocate_alice,0.5000,2.1589,-23.6171,4.6510
70,7,carol_reciprocate_alice,0.2000,2.2923,-23.8238,4.6510
71,8,carol_help_alice,0.6000,2.2923,-24.4304,4.4252
72,8,carol_reciprocate_alice,0.5000,2.1363,-24.9371,4.4252
73,8,carol_help_alice,0.2000,2.1363,-25.1438,4.6034
74,8,carol_decline_alice,0.1000,2.3747,-25.1438,4.8815
75,8,carol_reciprocate_alice,0.5000,2.2132,-25.6438,4.8815
76,8,carol_help_alice,0.6000,2.2132,-26.2438,4.6633
77,8,carol_decline_alice,-0.3000,2.8613,-26.2438,5.3451
78,8,carol_help_alice,0.6000,2.8613,-26.8614,5.1269
79,8,carol_decline_alice,-0.3000,3.5185,-26.8614,5.8087
80,8,carol_reciprocate_alice,0.2000,3.6756,-27.0947,5.8087
81,9,carol_decline_alice,0.1000,3.9328,-27.0947,6.0852
82,9,carol_decline_alice,-0.3000,4.5899,-27.0947,6.7617
83,9,carol_help_alice,0.2000,4.5899,-27.3347,6.9382
84,9,carol_decline_alice,0.1000,4.8416,-27.3347,7.2146
85,9,carol_decline_alice,-0.3000,5.4933,-27.3347,7.8911
